total_households,households_with_0_vehicles,households_with_1_vehicle,households_with_2_vehicles,households_with_3_vehicles,households_with_4_vehicles,households_with_5_vehicles,households_with_6_vehicles,households_with_7_vehicles,households_with_8_or_more_vehicles,state,county,tract,households_with_vehicles,vehicle_ownership_rate,tract_geoid
681.0,13.0,170.0,334.0,116.0,33.0,15.0,194.0,44.0,39.0,31,055,006803,945.0,1.3876651982378854,31055006803
658.0,21.0,86.0,369.0,87.0,50.0,45.0,16.0,0.0,0.0,31,055,006804,653.0,0.9924012158054711,31055006804
990.0,11.0,180.0,525.0,184.0,68.0,22.0,355.0,50.0,273.0,31,055,006805,1657.0,1.6737373737373737,31055006805
327.0,0.0,83.0,174.0,70.0,0.0,0.0,842.0,172.0,487.0,31,055,006806,1828.0,5.590214067278287,31055006806
710.0,13.0,198.0,321.0,148.0,23.0,7.0,257.0,7.0,142.0,31,055,006903,1103.0,1.5535211267605633,31055006903
1198.0,26.0,226.0,658.0,256.0,32.0,0.0,360.0,19.0,134.0,31,055,006904,1685.0,1.4065108514190316,31055006904
440.0,0.0,129.0,218.0,85.0,8.0,0.0,171.0,30.0,48.0,31,055,006905,689.0,1.565909090909091,31055006905
939.0,28.0,205.0,362.0,308.0,27.0,9.0,688.0,198.0,315.0,31,055,006906,2112.0,2.2492012779552715,31055006906
360.0,0.0,70.0,163.0,30.0,97.0,0.0,1846.0,245.0,1096.0,31,055,007001,3547.0,9.852777777777778,31055007001
1009.0,38.0,359.0,410.0,142.0,44.0,16.0,458.0,7.0,206.0,31,055,007002,1642.0,1.6273538156590683,31055007002
569.0,16.0,232.0,201.0,108.0,6.0,6.0,385.0,36.0,154.0,31,055,007003,1128.0,1.9824253075571177,31055007003
1042.0,9.0,202.0,398.0,325.0,38.0,70.0,193.0,71.0,21.0,31,055,007101,1318.0,1.2648752399232246,31055007101
932.0,22.0,199.0,433.0,229.0,27.0,22.0,290.0,11.0,69.0,31,055,007102,1280.0,1.3733905579399142,31055007102
1143.0,19.0,147.0,632.0,154.0,158.0,33.0,63.0,12.0,11.0,31,055,007303,1210.0,1.0586176727909011,31055007303
593.0,4.0,128.0,268.0,167.0,26.0,0.0,25.0,0.0,17.0,31,055,007304,631.0,1.0640809443507588,31055007304
1411.0,7.0,406.0,743.0,157.0,52.0,46.0,148.0,0.0,59.0,31,055,007309,1611.0,1.1417434443656982,31055007309
