total_households,households_with_0_vehicles,households_with_1_vehicle,households_with_2_vehicles,households_with_3_vehicles,households_with_4_vehicles,households_with_5_vehicles,households_with_6_vehicles,households_with_7_vehicles,households_with_8_or_more_vehicles,state,county,tract,households_with_vehicles,vehicle_ownership_rate,tract_geoid
1375.0,26.0,372.0,602.0,268.0,90.0,17.0,396.0,49.0,204.0,19,033,950700,1998.0,1.453090909090909,19033950700
1502.0,17.0,379.0,623.0,158.0,167.0,158.0,613.0,83.0,420.0,19,033,950800,2601.0,1.7316910785619175,19033950800
637.0,20.0,104.0,307.0,88.0,51.0,67.0,201.0,58.0,21.0,19,033,950900,897.0,1.4081632653061225,19033950900
847.0,4.0,148.0,362.0,220.0,79.0,34.0,197.0,11.0,56.0,19,033,951000,1107.0,1.306965761511216,19033951000
1082.0,0.0,148.0,593.0,225.0,79.0,37.0,359.0,48.0,104.0,19,033,951400,1593.0,1.4722735674676526,19033951400
1337.0,47.0,486.0,484.0,255.0,65.0,0.0,599.0,0.0,380.0,19,033,951600,2269.0,1.6970830216903516,19033951600
900.0,63.0,168.0,390.0,235.0,44.0,0.0,585.0,184.0,254.0,19,035,080101,1860.0,2.066666666666667,19035080101
721.0,17.0,174.0,336.0,129.0,45.0,20.0,162.0,45.0,104.0,19,035,080102,1015.0,1.4077669902912622,19035080102
914.0,26.0,221.0,328.0,168.0,117.0,54.0,239.0,50.0,31.0,19,035,080200,1208.0,1.3216630196936543,19035080200
487.0,8.0,94.0,157.0,130.0,86.0,12.0,141.0,4.0,35.0,19,035,080300,659.0,1.353182751540041,19035080300
824.0,19.0,156.0,343.0,151.0,111.0,44.0,153.0,0.0,54.0,19,035,080400,1012.0,1.2281553398058251,19035080400
1079.0,20.0,136.0,408.0,260.0,172.0,83.0,153.0,4.0,14.0,19,037,070100,1230.0,1.1399443929564412,19037070100
830.0,12.0,201.0,309.0,175.0,115.0,18.0,167.0,26.0,42.0,19,037,070200,1053.0,1.2686746987951807,19037070200
960.0,4.0,151.0,365.0,327.0,77.0,36.0,196.0,16.0,98.0,19,037,070300,1266.0,1.31875,19037070300
1242.0,15.0,358.0,546.0,175.0,96.0,52.0,378.0,62.0,228.0,19,037,070400,1895.0,1.5257648953301126,19037070400
1367.0,55.0,460.0,501.0,203.0,72.0,76.0,904.0,239.0,321.0,19,039,960100,2776.0,2.0307242136064376,19039960100
684.0,3.0,90.0,254.0,211.0,30.0,96.0,60.0,0.0,43.0,19,039,960200,784.0,1.1461988304093567,19039960200
606.0,9.0,107.0,224.0,117.0,84.0,65.0,119.0,2.0,37.0,19,039,960300,755.0,1.2458745874587458,19039960300
639.0,4.0,85.0,265.0,170.0,70.0,45.0,129.0,1.0,56.0,19,041,080100,821.0,1.2848200312989044,19041080100
1289.0,29.0,411.0,568.0,219.0,62.0,0.0,945.0,141.0,629.0,19,041,080200,2975.0,2.307990690457719,19041080200
1199.0,13.0,231.0,615.0,273.0,67.0,0.0,488.0,115.0,145.0,19,041,080301,1934.0,1.6130108423686405,19041080301
785.0,0.0,156.0,411.0,147.0,61.0,10.0,371.0,57.0,177.0,19,041,080302,1390.0,1.7707006369426752,19041080302
1069.0,16.0,274.0,412.0,230.0,93.0,44.0,223.0,17.0,69.0,19,041,080400,1362.0,1.274087932647334,19041080400
1044.0,33.0,240.0,432.0,202.0,65.0,72.0,350.0,67.0,120.0,19,043,070100,1548.0,1.4827586206896552,19043070100
1024.0,14.0,203.0,492.0,218.0,59.0,38.0,322.0,75.0,150.0,19,043,070200,1557.0,1.5205078125,19043070200
1003.0,23.0,215.0,464.0,166.0,77.0,58.0,372.0,86.0,147.0,19,043,070300,1585.0,1.580259222333001,19043070300
812.0,13.0,249.0,278.0,224.0,44.0,4.0,293.0,43.0,175.0,19,043,070400,1310.0,1.6133004926108374,19043070400
654.0,36.0,93.0,187.0,211.0,72.0,55.0,128.0,35.0,26.0,19,043,070500,807.0,1.2339449541284404,19043070500
