SITE,AGENCY,CITY,STATE,UTM_N,UTM_E,LATITUDE_N,LONGITUDE_W,BASE_HT_M,TOWER_HT_M,ANT_HT_M
RAX,NWS,RALEIGH/DURHAM,NC/Clayton,3949760,727220,35.665556,-78.489722,106.1,30,136.1
RGX,NWS,RENO,NV/Washoe County,4403370,289062,39.754167,-119.46222,2529.5,20,2549.5
RIW,NWS,RIVERTON,WY/Riverton,4771250,705412,43.066111,-108.47722,1697.1,10,1707.1
RLX,NWS,CHARLESTON,WV/Ruthdale,4240580,436786,38.311111,-81.723056,329.2,30,359.2
RTX,NWS,PORTLAND,OR/Scappoose,5062350,502702,45.714722,-122.96528,479.1,30,509.1
SFX,NWS,POCATELLO/IDAHO FALLS,ID/Springfield,4773950,362803,43.105833,-112.68611,1363.7,10,1373.7
SGF,NWS,SPRINGFIELD,MO/Springfield,4121050,464470,37.235278,-93.400556,389.5,20,409.5
SHV,NWS,SHREVEPORT,LA/Shreveport,3590720,420916,32.450833,-93.841389,83.2,30,113.2
SJT,NWS,SAN ANGELO,TX/San Angelo,3471720,358065,31.371389,-100.4925,576.1,30,606.1
SOX,NWS,SAN DIEGO,CA/Orange County,3742130,441157,33.817778,-117.63583,922.6,15,937.6
SRX,NWS,TULSA,OK/Western Arkansas,3906120,376183,35.290556,-94.361667,195.1,20,215.1
TBW,NWS,TAMPA BAY AREA,FL/Ruskin,3065370,361804,27.705556,-82.401667,12.5,20,32.5
TFX,NWS,GREAT FALLS,MT/Great Falls,5256330,470961,47.459722,-111.38528,1132,10,1142
TLH,NWS,TALLAHASSEE,FL/Tallahassee,3365860,756635,30.3975,-84.328889,19.2,30,49.2
TLX,NWS,OKLAHOMA CITY,OK/Norman,3911340,656524,35.333056,-97.277778,369.7,15,384.7
TWX,NWS,TOPEKA,KS/Alma,4320080,739673,38.996944,-96.2325,416.7,10,426.7
TYX,DOD,BURLINGTON,VT/TBD,4845040,438550,43.755833,-75.763333,562.4,30,592.4
UDX,NWS,RAPID CITY,SD/New Underwood,4888050,673636,44.125,-102.82972,919.3,30,949.3
UEX,NWS,HASTINGS,NE/Webster County,4463520,547412,40.320833,-98.441944,602.3,20,622.3
VAX,DOD,TALLAHASSEE,FL/(Moody AFB),3419160,308672,30.890278,-83.001667,54.3,30,84.3
VBX,DOD,LOS ANGELES,CA/(Vandenberg AFB),3858170,738029,34.838056,-120.39694,372.8,20,392.8
VNX,DOD,OKLAHOMA CITY,OK/(Vance AFB),4066480,577870,36.740833,-98.127778,368.8,10,378.8
VTX,NWS,LOS ANGELES,CA/Ventura County,3809960,299692,34.411667,-119.17944,830.9,20,850.9
YUX,NWS,PHOENIX,AZ/Yuma,3597760,720168,32.495278,-114.65667,53,10,63
DGX,NWS,"BRANDON, MS","JACKSON/BRANDON, MS",,,32.28,-89.9844,186,,
LGX,NWS,"LANGLEY HILL, WA",LANGLEY HILL (NW WASHINGTON),,,47.1158,-124.1069,77,,
VWX,NWS,"OWENSVILLE, IN","EVANSVILLE, IN",,,38.2666,-87.7166,190,,
